project_name,gen_node_code,owner,province,location,latitude,longitude,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,cascade_group_name,number,code,connecting_voltage_in_kv,start_year,end_year,gen_type,gen_type_copper,install_capacity_in_mw,capacity_adjustment_in_%,effective_capacity_in_mw,capacity_factor_in_%,annual_avg_energy_unit_gwh/y,min_storage,max_storage,min_water_discharge,max_water_discharge,power_intake_sill_elevation,max_spill,num_of_units,other_references,notes,fac_key
Lajoie,BC_LAJ00_GEN,BC Hydro,British Columbia,Lillooet,50.83972,-122.85589,British Columbia.a,British Columbia,Lajoie GS,BC_LAJ_DFS,Bridge,1,0,69,1957,2027,Hydro_daily,hydro_daily,25,1.0,25,0.33,72.52,0,705600000,3,51,697.0,127,1,,Each entry represents a turbine at the associated hydro plant,LAJ
Bridge1_01,BC_BR0101_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_DFS,Bridge,2,0,230,1934,2044,Hydro_daily,hydro_daily,52,1.0,52,0.33,149.4,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge1_02,BC_BR0102_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_DFS,Bridge,2,0,230,1934,2044,Hydro_daily,hydro_daily,52,1.0,52,0.33,149.4,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge1_03,BC_BR0103_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_DFS,Bridge,2,0,230,1934,2044,Hydro_daily,hydro_daily,52,1.0,52,0.33,149.4,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge1_04,BC_BR0104_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_DFS,Bridge,2,0,230,1934,2044,Hydro_daily,hydro_daily,52,1.0,52,0.33,149.4,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge2_01,BC_BR0201_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,Bridge,2,0,360,1934,2044,Hydro_daily,hydro_daily,69,1.0,69,0.33,198.72,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge2_02,BC_BR0202_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,Bridge,2,0,360,1934,2044,Hydro_daily,hydro_daily,69,1.0,69,0.33,198.72,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge2_03,BC_BR0203_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,Bridge,2,0,360,1934,2044,Hydro_daily,hydro_daily,69,1.0,69,0.33,198.72,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Bridge2_04,BC_BR0204_GEN,BC Hydro,British Columbia,Lillooet,50.72985,-122.240038,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,Bridge,2,0,360,1934,2044,Hydro_daily,hydro_daily,69,1.0,69,0.33,198.72,0,10125000000,0,160,600.0,586,4,,Each entry represents a turbine at the associated hydro plant,BR
Seton,BC_SON00_GEN,BC Hydro,British Columbia,Lillooet,50.672742,-121.924124,British Columbia.a,British Columbia,Seton Lake GS,BC_SON_DFS,Bridge,3,0,69,1956,2026,Hydro_daily,hydro_daily,48,1.0,48,0.33,139.25,0,14800000,5,143,232.0,359,1,,Each entry represents a turbine at the associated hydro plant,SON
John Hart_01,BC_JHT01_GEN,BC Hydro,British Columbia,Vancouver Island,50.044,-125.310893,British Columbia.a,British Columbia,John Hart GS,BC_JHT_GSS,Campbell,3,0,138,2021,2091,Hydro_daily,hydro_daily,46,1.0,46,0.33,133.44,24280000,44700000,0,124,140.0,1238,3,,Each entry represents a turbine at the associated hydro plant,JHT
John Hart_02,BC_JHT02_GEN,BC Hydro,British Columbia,Vancouver Island,50.044,-125.310893,British Columbia.a,British Columbia,John Hart GS,BC_JHT_GSS,Campbell,3,0,138,2021,2091,Hydro_daily,hydro_daily,46,1.0,46,0.33,133.44,24280000,44700000,0,124,140.0,1238,3,,Each entry represents a turbine at the associated hydro plant,JHT
John Hart_03,BC_JHT03_GEN,BC Hydro,British Columbia,Vancouver Island,50.044,-125.310893,British Columbia.a,British Columbia,John Hart GS,BC_JHT_GSS,Campbell,3,0,138,2021,2091,Hydro_daily,hydro_daily,46,1.0,46,0.33,133.44,24280000,44700000,0,124,140.0,1238,3,,Each entry represents a turbine at the associated hydro plant,JHT
Ladore_01,BC_LDR01_GEN,BC Hydro,British Columbia,Vancouver Island,50.017315,-125.393017,British Columbia.a,British Columbia,Ladore Falls GS,BC_LDR_GSS,Campbell,2,0,138,1956,2026,Hydro_daily,hydro_daily,24,1.0,24,0.33,68.17,6400000,316000000,0,168,520.0,1266,2,,Each entry represents a turbine at the associated hydro plant,LDR
Ladore_02,BC_LDR02_GEN,BC Hydro,British Columbia,Vancouver Island,50.017315,-125.393017,British Columbia.a,British Columbia,Ladore Falls GS,BC_LDR_GSS,Campbell,2,0,138,1956,2026,Hydro_daily,hydro_daily,24,1.0,24,0.33,68.17,6400000,316000000,0,168,520.0,1266,2,,Each entry represents a turbine at the associated hydro plant,LDR
Strathcona_01,BC_SCA01_GEN,BC Hydro,British Columbia,Vancouver Island,49.998082,-125.585578,British Columbia.a,British Columbia,Strathcona GS,BC_SCA_GSS,Campbell,1,0,138,1958,2028,Hydro_daily,hydro_daily,33,1.0,33,0.33,94.28,1579360000,2459000000,0,197,122.0,577,2,,Each entry represents a turbine at the associated hydro plant,SCA
Strathcona_02,BC_SCA02_GEN,BC Hydro,British Columbia,Vancouver Island,49.998082,-125.585578,British Columbia.a,British Columbia,Strathcona GS,BC_SCA_GSS,Campbell,1,0,138,1958,2028,Hydro_daily,hydro_daily,33,1.0,33,0.33,94.28,1579360000,2459000000,0,197,122.0,577,2,,Each entry represents a turbine at the associated hydro plant,SCA
Arrow Lakes_01,BC_ALH01_GEN,Columbia Power / Columbia Basin Trust,British Columbia,Slocan,49.343024,-117.768849,British Columbia.a,British Columbia,Arrow Lakes GS,BC_ALH_GSS,Mica/Columbia,3,0,230,2002,2042,Hydro_daily,hydro_daily,93,1.0,93,0.47,383.5,0,8757708000,0,530,,10500,2,,Each entry represents a turbine at the associated hydro plant,ALH
Arrow Lakes_02,BC_ALH02_GEN,Columbia Power / Columbia Basin Trust,British Columbia,Slocan,49.343024,-117.768849,British Columbia.a,British Columbia,Arrow Lakes GS,BC_ALH_GSS,Mica/Columbia,3,0,230,2002,2042,Hydro_daily,hydro_daily,93,1.0,93,0.47,383.5,0,8757708000,0,530,,10500,2,,Each entry represents a turbine at the associated hydro plant,ALH
Mica_01,BC_MCA01_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,1976,2046,Hydro_monthly,hydro_monthly,492,1.0,492,0.45,1936.79,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Mica_02,BC_MCA02_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,1976,2046,Hydro_monthly,hydro_monthly,492,1.0,492,0.45,1936.79,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Mica_03,BC_MCA03_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,1976,2046,Hydro_monthly,hydro_monthly,494,1.0,494,0.45,1942.7,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Mica_04,BC_MCA04_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,1976,2046,Hydro_monthly,hydro_monthly,494,1.0,494,0.45,1942.7,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Mica_05,BC_MCA05_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,2014,2084,Hydro_monthly,hydro_monthly,500,1.0,500,0.45,1968.45,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Mica_06,BC_MCA06_GEN,BC Hydro,British Columbia,Columbia,52.075872,-118.570515,British Columbia.a,British Columbia,Mica GS,BC_MCA_GSS,Mica/Columbia,1,0,500,2015,2085,Hydro_monthly,hydro_monthly,500,1.0,500,0.45,1968.45,6167400000,14801760000,0,1590,693.0,4290,6,,Each entry represents a turbine at the associated hydro plant,MCA
Revelstoke_01,BC_REV01_GEN,BC Hydro,British Columbia,Columbia,51.048563,-118.193945,British Columbia.a,British Columbia,Revelstoke GS,BC_REV_GSS,Mica/Columbia,2,0,500,1984,2054,Hydro_monthly,hydro_monthly,500,1.0,500,0.4,1759.97,0,1850220000,0,1325,,7110,5,,Each entry represents a turbine at the associated hydro plant,REV
Revelstoke_02,BC_REV02_GEN,BC Hydro,British Columbia,Columbia,51.048563,-118.193945,British Columbia.a,British Columbia,Revelstoke GS,BC_REV_GSS,Mica/Columbia,2,0,500,1984,2054,Hydro_monthly,hydro_monthly,500,1.0,500,0.4,1759.97,0,1850220000,0,1325,,7110,5,,Each entry represents a turbine at the associated hydro plant,REV
Revelstoke_03,BC_REV03_GEN,BC Hydro,British Columbia,Columbia,51.048563,-118.193945,British Columbia.a,British Columbia,Revelstoke GS,BC_REV_GSS,Mica/Columbia,2,0,500,1984,2054,Hydro_monthly,hydro_monthly,500,1.0,500,0.4,1759.97,0,1850220000,0,1325,,7110,5,,Each entry represents a turbine at the associated hydro plant,REV
Revelstoke_04,BC_REV04_GEN,BC Hydro,British Columbia,Columbia,51.048563,-118.193945,British Columbia.a,British Columbia,Revelstoke GS,BC_REV_GSS,Mica/Columbia,2,0,500,1984,2054,Hydro_monthly,hydro_monthly,500,1.0,500,0.4,1759.97,0,1850220000,0,1325,,7110,5,,Each entry represents a turbine at the associated hydro plant,REV
Revelstoke_05,BC_REV05_GEN,BC Hydro,British Columbia,Columbia,51.048563,-118.193945,British Columbia.a,British Columbia,Revelstoke GS,BC_REV_GSS,Mica/Columbia,2,0,500,2010,2080,Hydro_monthly,hydro_monthly,500,1.0,500,0.4,1759.97,0,1850220000,0,1325,,7110,5,,Each entry represents a turbine at the associated hydro plant,REV
Walter Hardman_01,BC_WHN01_GEN,BC Hydro,British Columbia,Columbia,50.813937,-118.06001,British Columbia.a,British Columbia,Walter Hardman GS,BC_WHN_GSS,Mica/Columbia,2,1,69,1960,2030,Hydro_daily,hydro_daily,4,1.0,4,0.33,11.6,240650,700000,0,4,,11,2,,Each entry represents a turbine at the associated hydro plant,WHN
Walter Hardman_02,BC_WHN02_GEN,BC Hydro,British Columbia,Columbia,50.813937,-118.06001,British Columbia.a,British Columbia,Walter Hardman GS,BC_WHN_GSS,Mica/Columbia,2,1,69,1960,2030,Hydro_daily,hydro_daily,4,1.0,4,0.33,11.6,240650,700000,0,4,,11,2,,Each entry represents a turbine at the associated hydro plant,WHN
Whatshan,BC_WGS00_GEN,BC Hydro,British Columbia,Columbia,49.910565,-118.071814,British Columbia.a,British Columbia,Whatshan GS,BC_WGS_GSS,Mica/Columbia,2,1,138,1951,2021,Hydro_daily,hydro_daily,54,1.0,54,0.33,156.65,0,122000000,0,34,216.0,279,1,,Each entry represents a turbine at the associated hydro plant,WGS
Seven Mile_01,BC_SEV01_GEN,BC Hydro,British Columbia,Columbia,49.030161,-117.504098,British Columbia.a,British Columbia,Seven Mile GS,BC_SEV_GSS,Seven Mile,1,0,230,1979,2049,Hydro_daily,hydro_daily,201,1.0,201,0.33,583.82,0,60500000,0,1473,,2300,4,,Each entry represents a turbine at the associated hydro plant,SEV
Seven Mile_02,BC_SEV02_GEN,BC Hydro,British Columbia,Columbia,49.030161,-117.504098,British Columbia.a,British Columbia,Seven Mile GS,BC_SEV_GSS,Seven Mile,1,0,230,1979,2049,Hydro_daily,hydro_daily,201,1.0,201,0.33,583.82,0,60500000,0,1473,,2300,4,,Each entry represents a turbine at the associated hydro plant,SEV
Seven Mile_03,BC_SEV03_GEN,BC Hydro,British Columbia,Columbia,49.030161,-117.504098,British Columbia.a,British Columbia,Seven Mile GS,BC_SEV_GSS,Seven Mile,1,0,230,1979,2049,Hydro_daily,hydro_daily,201,1.0,201,0.33,583.82,0,60500000,0,1473,,2300,4,,Each entry represents a turbine at the associated hydro plant,SEV
Seven Mile_04,BC_SEV04_GEN,BC Hydro,British Columbia,Columbia,49.030161,-117.504098,British Columbia.a,British Columbia,Seven Mile GS,BC_SEV_GSS,Seven Mile,1,0,230,1979,2049,Hydro_daily,hydro_daily,201,1.0,201,0.33,583.82,0,60500000,0,1473,,2300,4,,Each entry represents a turbine at the associated hydro plant,SEV
Waneta_01,BC_WAN01_GEN,BC Hydro,British Columbia,Columbia,49.004148,-117.612867,British Columbia.a,British Columbia,Waneta GS,BC_WAN_GSS,Seven Mile,2,0,230,1954,2024,Hydro_daily,hydro_daily,120,1.0,120,0.33,348.11,0,60500000,0,838,,100000000,4,,Each entry represents a turbine at the associated hydro plant,WAN
Waneta_02,BC_WAN02_GEN,BC Hydro,British Columbia,Columbia,49.004148,-117.612867,British Columbia.a,British Columbia,Waneta GS,BC_WAN_GSS,Seven Mile,2,0,230,1954,2024,Hydro_daily,hydro_daily,120,1.0,120,0.33,348.11,0,60500000,0,838,,100000000,4,,Each entry represents a turbine at the associated hydro plant,WAN
Waneta_03,BC_WAN03_GEN,BC Hydro,British Columbia,Columbia,49.004148,-117.612867,British Columbia.a,British Columbia,Waneta GS,BC_WAN_GSS,Seven Mile,2,0,230,1954,2024,Hydro_daily,hydro_daily,120,1.0,120,0.33,348.11,0,60500000,0,838,,100000000,4,,Each entry represents a turbine at the associated hydro plant,WAN
Waneta_04,BC_WAN04_GEN,BC Hydro,British Columbia,Columbia,49.004148,-117.612867,British Columbia.a,British Columbia,Waneta GS,BC_WAN_GSS,Seven Mile,2,0,230,1954,2024,Hydro_daily,hydro_daily,120,1.0,120,0.33,348.11,0,60500000,0,838,,100000000,4,,Each entry represents a turbine at the associated hydro plant,WAN
GM Shrum_01,BC_GMS01_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_02,BC_GMS02_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_03,BC_GMS03_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_04,BC_GMS04_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_05,BC_GMS05_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_06,BC_GMS06_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_07,BC_GMS07_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_08,BC_GMS08_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_09,BC_GMS09_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
GM Shrum_10,BC_GMS10_GEN,BC Hydro,British Columbia,Peace River,56.014797,-122.195744,British Columbia.a,British Columbia,GM Shrum GS,BC_GMS_GSS,Peace,1,0,500,1968,2038,Hydro_monthly,hydro_monthly,305,1.0,305,0.6,1604.75,0,39471000000,0,1968,628.0,9200,10,,Each entry represents a turbine at the associated hydro plant,GMS
Peace Canyon_01,BC_PCN01_GEN,BC Hydro,British Columbia,Peace River,55.982571,-121.99497,British Columbia.a,British Columbia,Peace Canyon GS,BC_PCN_GSS,Peace,2,0,500,1980,2050,Hydro_monthly,hydro_monthly,175,1.0,175,0.62,953.6,0,24690000,0,1982,426.0,10280,4,,Each entry represents a turbine at the associated hydro plant,PCN
Peace Canyon_02,BC_PCN02_GEN,BC Hydro,British Columbia,Peace River,55.982571,-121.99497,British Columbia.a,British Columbia,Peace Canyon GS,BC_PCN_GSS,Peace,2,0,500,1980,2050,Hydro_monthly,hydro_monthly,175,1.0,175,0.62,953.6,0,24690000,0,1982,426.0,10280,4,,Each entry represents a turbine at the associated hydro plant,PCN
Peace Canyon_03,BC_PCN03_GEN,BC Hydro,British Columbia,Peace River,55.982571,-121.99497,British Columbia.a,British Columbia,Peace Canyon GS,BC_PCN_GSS,Peace,2,0,500,1980,2050,Hydro_monthly,hydro_monthly,175,1.0,175,0.62,953.6,0,24690000,0,1982,426.0,10280,4,,Each entry represents a turbine at the associated hydro plant,PCN
Peace Canyon_04,BC_PCN04_GEN,BC Hydro,British Columbia,Peace River,55.982571,-121.99497,British Columbia.a,British Columbia,Peace Canyon GS,BC_PCN_GSS,Peace,2,0,500,1980,2050,Hydro_monthly,hydro_monthly,175,1.0,175,0.62,953.6,0,24690000,0,1982,426.0,10280,4,,Each entry represents a turbine at the associated hydro plant,PCN
Site C_01,BC_STC01_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,2,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Site C_02,BC_STC02_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,3,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Site C_03,BC_STC03_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,3,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Site C_04,BC_STC04_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,3,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Site C_05,BC_STC05_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,3,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Site C_06,BC_STC06_GEN,BC Hydro,British Columbia,Peace River,56.196554,-120.913957,British Columbia.a,British Columbia,Site C GS,BC_STC_GSS,Peace,3,0,500,2025,2095,Hydro_monthly,hydro_monthly,189,1.0,189,0.54,894.07,2145000000,2310000000,0,793,,10280,6,,Each entry represents a turbine at the associated hydro plant,STC
Alouette,BC_ALU00_GEN,BC Hydro,British Columbia,Lower Mainland,49.371009,-122.312429,British Columbia.a,British Columbia,Alouette GS,BC_ALU_GSS,Stave,1,0,69,1928,2038,Hydro_daily,hydro_daily,9,1.0,9,0.33,26.11,4650000,198650000,0,24,101.0,1257,1,,Each entry represents a turbine at the associated hydro plant,ALU
Ruskin_01,BC_RUS01_GEN,BC Hydro,British Columbia,Lower Mainland,49.194973,-122.408341,British Columbia.a,British Columbia,Ruskin GS,BC_RUS_GSS,Stave,3,0,69,1930,2040,Hydro_daily,hydro_daily,38,1.0,38,0.33,111.19,0,42000000,0,348,,4430,3,,Each entry represents a turbine at the associated hydro plant,RUS
Ruskin_02,BC_RUS02_GEN,BC Hydro,British Columbia,Lower Mainland,49.194973,-122.408341,British Columbia.a,British Columbia,Ruskin GS,BC_RUS_GSS,Stave,3,0,69,1930,2040,Hydro_daily,hydro_daily,38,1.0,38,0.33,111.19,0,42000000,0,348,,4430,3,,Each entry represents a turbine at the associated hydro plant,RUS
