,name,x,y,type,v_nom,substation_type
0,63_CSC_JCT,-117.825132,49.077720,ac,63,JCT
1,63_CSC_DSS,-117.825132,49.077720,ac,63,DSS
2,63_CHR_JCT,-118.212538,49.035132,ac,63,JCT
3,63_RUC_JCT,-118.436004,49.027013,ac,63,JCT
4,63_GFT_TSS,-118.473626,49.047464,ac,63,TSS
5,63_CHR_DSS,-118.212538,49.035132,ac,63,DSS
6,63_BRA_ISS,-118.427409,49.026585,ac,63,ISS
7,63_RUC_DSS,-118.436004,49.027013,ac,63,DSS
8,63_WTS_TSS,-117.739732,49.105169,ac,63,TSS
9,161_GFT_TSS,-118.473626,49.047464,ac,161,TSS
10,161_ASM_TSS,-117.732791,49.101066,ac,161,TSS
11,161_KET_DSS,-118.933942,49.048282,ac,161,DSS
12,63_KCL_GSS,-117.517897,49.453258,ac,63,GSS
13,63_SLC_GSS,-117.519712,49.455487,ac,63,GSS
14,63_WHS_TSS,-117.613121,49.006754,ac,63,TSS
15,63_WAN_GSS,-117.612867,49.004148,ac,63,GSS
16,63_ESS_SWS,-117.732180,49.102155,ac,63,SWS
17,63_BEP_DSS,-117.609035,49.070782,ac,63,DSS
18,63_PAS_DSS,-117.649046,49.542055,ac,63,DSS
19,63_VAL_DSS,-117.468079,49.759672,ac,63,DSS
20,63_STY_DSS,-117.726748,49.114567,ac,63,DSS
21,138_SKK_GSS,-122.034255,49.711062,ac,138,GSS
22,138_BSV_GSS,-121.859106,49.693045,ac,138,GSS
23,138_FRE_GSS,-122.234664,49.783363,ac,138,GSS
24,138_DGL_GSS,-122.150954,49.767563,ac,138,GSS
25,138_KWL_TSS,-122.205792,49.759520,ac,138,TSS
26,138_TPA_GSS,-122.162222,49.740918,ac,138,GSS
27,138_USR_GSS,-122.350299,49.566047,ac,138,GSS
28,138_NWS_GSS,-122.462532,49.628056,ac,138,GSS
29,138_UHT_DSS,-122.205199,49.759134,ac,138,DSS
30,138_LMN_GSS,-122.344598,49.568962,ac,138,GSS
31,138_TWY_GSS,-122.079577,49.703790,ac,138,GSS
32,138_BRE_GSS,-122.079928,49.704157,ac,138,GSS
33,138_TRE_GSS,-122.032922,49.628402,ac,138,GSS
34,138_SHA_JCT,-123.595778,48.648354,ac,138,JCT
35,138_GOW_DSS,-123.421097,48.490141,ac,138,DSS
36,138_VIT_TSS,-123.716421,48.827340,ac,138,TSS
37,138_SHA_DSS,-123.595778,48.648354,ac,138,DSS
38,138_KSH_JCT,-123.711786,48.761223,ac,138,JCT
39,138_KSH_DSS,-123.711786,48.761223,ac,138,DSS
40,138_GTP_DSS,-123.359952,48.473831,ac,138,DSS
41,138_ARN_DSS,-123.041678,49.092139,ac,138,DSS
42,138_GLS_JCT,-123.361716,48.904479,ac,138,JCT
43,138_SAL_JCT,-123.515739,48.857399,ac,138,JCT
44,138_GLS_DSS,-123.361716,48.904479,ac,138,DSS
45,138_SAL_DSS,-123.515739,48.857399,ac,138,DSS
46,138_WFR_JCT,-123.254708,49.667149,ac,138,JCT
47,138_BOX_JCT,-123.426733,49.600618,ac,138,JCT
48,138_GIB_DSS,-123.514089,49.409190,ac,138,DSS
49,138_CKY_DSS,-123.160951,49.790166,ac,138,DSS
50,138_BOX_GSS,-123.426733,49.600618,ac,138,GSS
51,138_WFR_DSS,-123.254708,49.667149,ac,138,DSS
52,138_SEC_DSS,-123.752228,49.476710,ac,138,DSS
