,BC_ALH_RES,BC_ALU_RES,BC_BR1_RES,BC_GMS_RES,BC_LDR_RES,BC_MCA_RES,BC_REV_RES,BC_SCA_RES,BC_SEV_RES,BC_SON_RES,BC_WGS_RES,BC_JHT_RES,BC_PCN_RES,BC_RUS_RES,BC_SFL_RES,BC_STC_RES
2021-01-01 00:00:00,587782.6351248671,52549.71207641249,80666.25850197383,938750.7099225778,36589.4493747817,454541.48137633654,192052.30439248908,165760.44154980144,1761121.8515982067,22141.957590989703,8064.025449686174,0.0,0.0,0.0,0.0,0.0
2021-01-01 01:00:00,584484.3686374892,54619.52970561831,80520.7468474393,938454.3346324158,35886.72652849455,454473.94507002976,191895.36528305223,165171.92808687684,1762368.372732194,22141.375015348247,8051.951274683365,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,585978.4298785565,53514.0041682069,80695.25269776599,938121.6121131089,41465.689398019276,454384.8462066586,191960.9377870863,168339.9085690799,1763690.9813157858,22122.840270406294,8057.9171366117935,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,585355.432011378,53981.79521982318,77799.79666005955,938072.1928614397,41136.28840907312,454455.28166385234,191918.00481903052,168556.02878123193,1762230.9561457152,22126.876053152897,8059.073662432668,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,584633.8370775367,74705.41722610054,70743.99061147009,937841.217837792,44572.71586168913,453253.3168261351,191924.2320585914,170314.6945491022,1761589.285003389,22114.068092232246,8053.524282902417,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,584908.9644264864,84192.10774080899,70743.99061147009,938096.6590834061,44995.46876931185,450702.1026928085,190778.61295618792,188040.9832106952,1760020.18139372,22112.148628862837,8054.534712535373,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,568370.9580218699,92225.53792590337,67253.61901691929,939073.7001145807,45396.22507576116,450208.8583263617,190790.43095285882,186325.0322830882,1755962.8319676141,22103.567168511814,8048.862755536432,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,567964.032581677,90174.84663128544,67253.61901691929,939183.3491453801,42272.693698661846,450115.572749261,190504.83441969112,190212.17963866895,1755512.7717745441,22088.564831365078,8040.100977234329,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,516333.638302582,87473.63122367412,67253.61901691929,938839.9342221802,46632.71666821059,449735.7158808973,190654.27410235032,200721.6283016512,1755360.6261574184,22083.662638646532,8039.990332663309,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,515878.548637019,91956.40928549792,59780.075299649594,939174.8403508388,47562.852594192154,446460.2990548976,190700.32827949,231460.49294633107,1746285.625373231,22071.356394327395,8041.573204642833,0.0,0.0,0.0,0.0,0.0
