asset_id,component_id,connecting_node_code,num_of_units,latitude,longitude,capacity,capacity_factor,annual_avg_energy,p_min,nominal_head,max_spill,max_water_discharge,min_water_discharge,gen_type,cascade_group,cascade_order,upper_reservoir_id,lower_reservoir_id,max_level,min_level,min_storage,max_storage,ramp_up,ramp_down,min_up,min_down,min_gen,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,start_up_cost_cold,shutdown_cost,typical_plant_size_MW,capital_cost_CAD_per_kW,service_life_years,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,start_year,closure_year,hydro_type,sources
BC_ABN_GSS,BC_ABN01_GEN,BC_ABN_GSS,3,49.493319,-115.362424,24.0,DEFAULT,69.62,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Aberfeldie,,876.67,876.15,DEFAULT,DEFAULT,1.2,1.2,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,2009,,ror,
BC_ALH_GSS,BC_ALH01_GEN,BC_ALH_GSS,2,49.343024,-117.768849,185.0,DEFAULT,767.0,DEFAULT,DEFAULT,10500.0,530.0,0,hydro_daily,Mica/Columbia,3,BC_ALH_RES,Columbia (U.S.),440.1,418.64,DEFAULT,DEFAULT,13.875,13.875,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,2002,,reservoir,From CODERS
BC_ALK_DSS,BC_ALK00_GEN,BC_ILL_DSS,1,50.8227,-118.0295,10.0,DEFAULT,40.5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,1995,,ror,
BC_ALU_GSS,BC_ALU00_GEN,BC_ALU_GSS,1,49.371009,-122.312429,9.0,DEFAULT,40.33,DEFAULT,DEFAULT,3.0,24.0,0,hydro_daily,Stave,1,BC_ALU_RES,BC_SFL_RES,125.5,112.6,DEFAULT,DEFAULT,1.3499999999999999,1.3499999999999999,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1928,,reservoir,
BC_ASH_GSS,BC_ASH00_GEN,BC_ASH_GSS,1,49.373363,-125.150629,28.0,DEFAULT,81.23,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Elsie,,330.71,320,DEFAULT,DEFAULT,4.2,4.2,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1958,,ror,
BC_ASL_GSS,BC_ASL00_GEN,BC_ASL_GSS,1,49.914338,-123.325032,49.9,DEFAULT,268.7,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2009,,ror,
BC_BBR_DSS,BC_BBR00_GEN,BC_BBR_DSS,1,49.811343,-121.458475,9.0,DEFAULT,37.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,1994,,ror,
BC_BDH_GSS,BC_BDH00_GEN,BC_BDH_GSS,1,50.635524,-123.405928,25.3,DEFAULT,92.3,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2017,,ror,
BC_BDW_DSS,BC_BDW00_GEN,BC_FCN_DSS,1,49.978254,-123.141733,7.6,DEFAULT,34.1,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2005,,ror,
BC_BHL_GSS,BC_BHL00_GEN,BC_BHL_GSS,1,49.748008,-123.515924,10.0,DEFAULT,46.2,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2011,,ror,
