,transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,summer_capacity,winter_capacity,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes
5602,28958,10EL,FortisBC,BC,British Columbia,1,ac,1.000,0.617,53.500,33.025,63,20.33,30,33,Cascade JCT,BC_CSC_JCT,Cascade,BC_CSC_DSS,NULL
5603,28959,10EL,FortisBC,BC,British Columbia,1,ac,32.500,20.062,53.500,33.025,63,20.33,30,33,Christina Lake JCT,BC_CHR_JCT,Cascade JCT,BC_CSC_JCT,NULL
5604,28960,10EL,FortisBC,BC,British Columbia,1,ac,17.500,10.802,53.500,33.025,63,20.33,30,33,Ruckles JCT,BC_RUC_JCT,Christina Lake JCT,BC_CHR_JCT,NULL
5605,28961,10EL,FortisBC,BC,British Columbia,1,ac,2.500,1.543,53.500,33.025,63,20.33,30,33,Grand Forks TS,BC_GFT_TSS,Ruckles JCT,BC_RUC_JCT,NULL
5606,28962,10ELCHR,FortisBC,BC,British Columbia,1,ac,2.000,1.235,2.000,1.235,63,0.76,30,33,Christina Lake JCT,BC_CHR_JCT,Christina Lake,BC_CHR_DSS,NULL
5607,28963,10ELRUC,FortisBC,BC,British Columbia,1,ac,1.000,0.617,2.500,1.543,63,0.95,30,33,Ruckles JCT,BC_RUC_JCT,Bradford,BC_BRA_ISS,NULL
5608,28964,10ELRUC,FortisBC,BC,British Columbia,1,ac,1.500,0.926,2.500,1.543,63,0.95,30,33,Bradford,BC_BRA_ISS,Ruckles,BC_RUC_DSS,NULL
5609,28965,10L,FortisBC,BC,British Columbia,1,ac,7.500,4.630,7.500,4.630,63,2.85,30,33,Cascade JCT,BC_CSC_JCT,Warfield TS,BC_WTS_TSS,NULL
5610,28966,11EL,FortisBC,BC,British Columbia,1,ac,60.000,37.037,60.000,37.037,161,27.00,193,212,Grand Forks TS,BC_GFT_TSS,AS Mawdsley TS,BC_ASM_TSS,NULL
5611,28967,11WL,FortisBC,BC,British Columbia,1,ac,35.000,21.605,35.000,21.605,161,15.75,193,212,Kettle Valley,BC_KET_DSS,Grand Forks TS,BC_GFT_TSS,NULL
5612,28968,12L 60L227,FortisBC,BC,British Columbia,1,ac,0.743,0.459,0.743,0.459,63,0.28,30,33,Kootenay Canal GS,BC_KCL_GSS,South Slocan GS,BC_SLC_GSS,NULL
5613,28969,13L 60L225,FortisBC,BC,British Columbia,1,ac,0.429,0.265,0.429,0.265,63,0.16,30,33,Kootenay Canal GS,BC_KCL_GSS,South Slocan GS,BC_SLC_GSS,NULL
5614,28970,14L,FortisBC,BC,British Columbia,1,ac,0.500,0.309,11.500,7.099,63,4.37,30,33,Waneta TS,BC_WHS_TSS,Waneta GS,BC_WAN_GSS,NULL
5615,28971,14L,FortisBC,BC,British Columbia,1,ac,11.000,6.790,11.500,7.099,63,4.37,30,33,Emerald SWS,BC_ESS_SWS,Waneta TS,BC_WHS_TSS,NULL
