name,x,y,type,v_nom
63_RUC_JCT,-118.436004,49.027013,63kV,63
63_BRA_ISS,-118.427409,49.026585,63kV,63
63_CHR_JCT,-118.211829,49.00848,63kV,63
63_CHR_DSS,-118.211829,49.00848,63kV,63
63_CSC_JCT,-117.825132,49.07772,63kV,63
63_CSC_DSS,-117.825132,49.07772,63kV,63
63_GFT_TSS,-118.473626,49.047464,63kV,63
63_WTS_TSS,-117.739672,49.105142,63kV,63
161_GFT_TSS,-118.473626,49.047464,161kV,161
161_ASM_TSS,-117.739544,49.096681,161kV,161
161_KET_DSS,-118.933942,49.048282,161kV,161
63_KCL_GSS,-117.515496,49.454146,63kV,63
63_SLC_GSS,-117.520976,49.455617,63kV,63
63_ESS_SWS,-117.732815,49.100779,63kV,63
63_WHS_TSS,-117.613121,49.006754,63kV,63
63_WAN_GSS,-117.612867,49.004147,63kV,63
63_BEP_DSS,-117.609035,49.070782,63kV,63
63_PAS_DSS,-117.649046,49.542055,63kV,63
63_VAL_DSS,-117.468079,49.759672,63kV,63
63_STY_DSS,-117.731925,49.102098,63kV,63
138_DGL_GSS,-122.151115,49.767168,138kV,138
138_SKK_GSS,-122.034803,49.711079,138kV,138
138_FRE_GSS,-122.234262,49.783235,138kV,138
138_KWL_TSS,-122.205792,49.75952,138kV,138
138_NWS_GSS,-122.449479,49.623065,138kV,138
138_UHT_DSS,-122.205199,49.759134,138kV,138
138_USR_GSS,-122.349614,49.566475,138kV,138
138_TPA_GSS,-122.162605,49.7411,138kV,138
138_BSV_GSS,-121.859106,49.693045,138kV,138
138_LMN_GSS,-122.344598,49.568962,138kV,138
138_BRE_GSS,-122.079928,49.704157,138kV,138
138_TRE_GSS,-121.971727,49.632313,138kV,138
138_TWY_GSS,-122.079864,49.704029,138kV,138
138_SHA_JCT,-123.595778,48.648354,138kV,138
138_GOW_DSS,-123.421097,48.490141,138kV,138
138_VIT_TSS,-123.716421,48.82734,138kV,138
138_SHA_DSS,-123.595778,48.648354,138kV,138
138_KSH_JCT,-123.711786,48.761223,138kV,138
138_KSH_DSS,-123.711786,48.761223,138kV,138
138_GTP_DSS,-123.359952,48.473831,138kV,138
138_SAL_JCT,-123.515739,48.857399,138kV,138
138_SAL_DSS,-123.515739,48.857399,138kV,138
138_ARN_DSS,-123.041678,49.092139,138kV,138
138_EBT_TSS,-123.089175,49.007877,138kV,138
138_TBY_TSS,-123.362111,48.905074,138kV,138
138_GLS_JCT,-123.361716,48.904479,138kV,138
138_MTG_TSS,-123.425594,48.893015,138kV,138
138_MBO_TSS,-123.452515,48.863395,138kV,138
138_GLS_DSS,-123.361716,48.904479,138kV,138
138_BOX_JCT,-123.394255,49.584845,138kV,138
138_GIB_DSS,-123.514089,49.40919,138kV,138
138_CKY_DSS,-123.160951,49.790166,138kV,138
138_WFR_JCT,-123.254708,49.667149,138kV,138
138_BOX_GSS,-123.394255,49.584845,138kV,138
138_WFR_DSS,-123.254708,49.667149,138kV,138
138_SEC_DSS,-123.752228,49.47671,138kV,138
138_FVW_JCT,-124.530304,49.861363,138kV,138
138_POW_DSS,-124.552253,49.877628,138kV,138
138_GPT_JCT,-124.514528,49.805372,138kV,138
138_SAY_DSS,-124.17721,49.7871,138kV,138
138_FVW_DSS,-124.530304,49.861363,138kV,138
138_GPT_DSS,-124.514528,49.805372,138kV,138
138_PHR_DSS,-123.9655,49.64008,138kV,138
138_MSA_DSS,-123.960396,49.668833,138kV,138
138_NIT_JCT,-123.715786,49.805758,138kV,138
138_NIT_GSS,-123.715786,49.805758,138kV,138
138_SKO_GSS,-122.995604,49.720838,138kV,138
138_BRK_DSS,-123.517237,49.751928,138kV,138
138_LCH_GSS,-123.397337,49.818207,138kV,138
138_COM_GSS,-123.532622,49.711246,138kV,138
138_BHL_GSS,-123.515924,49.748008,138kV,138
138_SCG_JCT,-123.54807,49.677482,138kV,138
138_UCH_GSS,-123.445498,49.85448,138kV,138
138_BHU_GSS,-123.572093,49.795389,138kV,138
138_SCG_GSS,-123.54807,49.677482,138kV,138
138_CCD_JCT,-121.054328,50.496319,138kV,138
138_LLD_ISS,-121.192835,50.557952,138kV,138
138_HLD_DSS,-120.807571,50.407364,138kV,138
138_HVC_JCT,-121.018601,50.470383,138kV,138
138_STL_DSS,-121.295479,50.557884,138kV,138
138_CCD_ISS,-121.054328,50.496319,138kV,138
138_HVC_ISS,-121.018601,50.470383,138kV,138
138_KCH_GSS,-121.567372,50.105418,138kV,138
138_BKB_JCT,-124.878651,49.547759,138kV,138
138_CMX_JCT,-124.968297,49.713669,138kV,138
138_OYR_JCT,-125.250716,49.902714,138kV,138
138_DMR_DSS,-124.671575,49.392836,138kV,138
138_JHT_GSS,-125.310392,50.042998,138kV,138
138_BKB_DSS,-124.878651,49.547759,138kV,138
138_CMX_DSS,-124.968297,49.713669,138kV,138
138_OYR_DSS,-125.250716,49.902714,138kV,138
138_CBL_JCT,-125.253671,50.020327,138kV,138
138_PUN_JCT,-125.034013,49.68724,138kV,138
138_CBL_DSS,-125.253671,50.020327,138kV,138
138_PUN_GSS,-125.034013,49.68724,138kV,138
138_ICG_JCT,-125.281878,50.06909,138kV,138
138_EFM_ISS,-125.280099,50.070844,138kV,138
138_ICG_GSS,-125.281878,50.06909,138kV,138
138_PAL_DSS,-124.810406,49.25063,138kV,138
