transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,Transmission_Line_Reactance,Transmission_Line_Segment_Reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes,starting_node_code,ending_node_code,summer_rating_mw,winter_rating_mw,reactance_ohm,segment_reactance,length_km,voltage_kV,s_nom,name,type,bus0,bus1,length,v_nom
31552,10B,FortisBC,BC,British Columbia,1,ac,2.7,1.667,2.7,1.667,63,1.03,1.03,30,33,Ruckles JCT,BC_RUC_JCT,Bradford,BC_BRA_ISS,,BC_RUC_JCT,BC_BRA_ISS,30,33,1.03,1.03,2.7,63,33.3333,RUC_JCT_BRA_ISS,63kV,63_RUC_JCT,63_BRA_ISS,2.7,63
31553,10C,FortisBC,BC,British Columbia,1,ac,2.0,1.235,2.0,1.235,63,0.76,0.76,30,33,Christina Lake JCT,BC_CHR_JCT,Christina Lake,BC_CHR_DSS,Circuit ID assumed,BC_CHR_JCT,BC_CHR_DSS,30,33,0.76,0.76,2.0,63,33.3333,CHR_JCT_CHR_DSS,63kV,63_CHR_JCT,63_CHR_DSS,2.0,63
31554,10EL,FortisBC,BC,British Columbia,1,ac,4.8,2.963,52.2,32.222,63,19.84,1.82,30,33,Cascade JCT,BC_CSC_JCT,Cascade,BC_CSC_DSS,,BC_CSC_JCT,BC_CSC_DSS,30,33,19.84,1.82,52.2,63,33.3333,CSC_JCT_CSC_DSS,63kV,63_CSC_JCT,63_CSC_DSS,4.8,63
31555,10EL,FortisBC,BC,British Columbia,1,ac,26.6,16.42,52.2,32.222,63,19.84,10.11,30,33,Christina Lake JCT,BC_CHR_JCT,Cascade JCT,BC_CSC_JCT,,BC_CHR_JCT,BC_CSC_JCT,30,33,19.84,10.11,52.2,63,33.3333,CHR_JCT_CSC_JCT,63kV,63_CHR_JCT,63_CSC_JCT,26.6,63
31556,10EL,FortisBC,BC,British Columbia,1,ac,3.1,1.914,52.2,32.222,63,19.84,1.18,30,33,Grand Forks TS,BC_GFT_TSS,Ruckles JCT,BC_RUC_JCT,,BC_GFT_TSS,BC_RUC_JCT,30,33,19.84,1.18,52.2,63,33.3333,GFT_TSS_RUC_JCT,63kV,63_GFT_TSS,63_RUC_JCT,3.1,63
31557,10EL,FortisBC,BC,British Columbia,1,ac,17.7,10.926,52.2,32.222,63,19.84,6.73,30,33,Ruckles JCT,BC_RUC_JCT,Christina Lake JCT,BC_CHR_JCT,,BC_RUC_JCT,BC_CHR_JCT,30,33,19.84,6.73,52.2,63,33.3333,RUC_JCT_CHR_JCT,63kV,63_RUC_JCT,63_CHR_JCT,17.7,63
31558,10L,FortisBC,BC,British Columbia,1,ac,11.0,6.79,11.0,6.79,63,4.18,4.18,30,33,Cascade JCT,BC_CSC_JCT,Warfield TS,BC_WTS_TSS,,BC_CSC_JCT,BC_WTS_TSS,30,33,4.18,4.18,11.0,63,33.3333,CSC_JCT_WTS_TSS,63kV,63_CSC_JCT,63_WTS_TSS,11.0,63
31559,11EL,FortisBC,BC,British Columbia,1,ac,59.6,36.79,59.6,36.79,161,26.82,26.82,193,212,Grand Forks TS,BC_GFT_TSS,AS Mawdsley TS,BC_ASM_TSS,,BC_GFT_TSS,BC_ASM_TSS,193,212,26.82,26.82,59.6,161,214.4444,GFT_TSS_ASM_TSS,161kV,161_GFT_TSS,161_ASM_TSS,59.6,161
31560,11WL,FortisBC,BC,British Columbia,1,ac,34.1,21.049,34.1,21.049,161,15.35,15.35,193,212,Kettle Valley,BC_KET_DSS,Grand Forks TS,BC_GFT_TSS,,BC_KET_DSS,BC_GFT_TSS,193,212,15.35,15.35,34.1,161,214.4444,KET_DSS_GFT_TSS,161kV,161_KET_DSS,161_GFT_TSS,34.1,161
31561,12L,FortisBC,BC,British Columbia,1,ac,0.743,0.459,0.743,0.459,63,0.28,0.28,30,33,Kootenay Canal GS,BC_KCL_GSS,South Slocan GS,BC_SLC_GSS,Also called 60L227,BC_KCL_GSS,BC_SLC_GSS,30,33,0.28,0.28,0.743,63,33.3333,KCL_GSS_SLC_GSS,63kV,63_KCL_GSS,63_SLC_GSS,0.743,63
