name,f_nom,s_nom,v_nom_0,v_nom_1,vsc,vscr,pfe,i0,phase_shift,tap_side,tap_neutral,tap_min,tap_max,tap_step
161/63,60,2000,161,63,10,0.3,30,0.04,150,0,0,-9,9,1.5
230/63,60,2000,230,63,10,0.3,30,0.04,150,0,0,-9,9,1.5
360/138,60,2000,360,138,10,0.3,30,0.04,150,0,0,-9,9,1.5
230/138,60,2000,230,138,10,0.3,30,0.04,150,0,0,-9,9,1.5
138/69,60,2000,138,69,10,0.3,30,0.04,150,0,0,-9,9,1.5
500/230,60,2000,500,230,10,0.3,30,0.04,150,0,0,-9,9,1.5
500/138,60,2000,500,138,10,0.3,30,0.04,150,0,0,-9,9,1.5
287/138,60,2000,287,138,10,0.3,30,0.04,150,0,0,-9,9,1.5
500/287,60,2000,500,287,10,0.3,30,0.04,150,0,0,-9,9,1.5
287/230,60,2000,287,230,10,0.3,30,0.04,150,0,0,-9,9,1.5
360/230,60,2000,360,230,10,0.3,30,0.04,150,0,0,-9,9,1.5
230/69,60,2000,230,69,10,0.3,30,0.04,150,0,0,-9,9,1.5
287/69,60,2000,287,69,10,0.3,30,0.04,150,0,0,-9,9,1.5
360/69,60,2000,360,69,10,0.3,30,0.04,150,0,0,-9,9,1.5
138/63,60,2000,138,63,10,0.3,30,0.04,150,0,0,-9,9,1.5
161/138,60,2000,161,138,10,0.3,30,0.04,150,0,0,-9,9,1.5
230/161,60,2000,230,161,10,0.3,30,0.04,150,0,0,-9,9,1.5
500/69,60,2000,500,69,10,0.3,30,0.04,150,0,0,-9,9,1.5
