name,bus0,bus1,type
UHT_DSS_360_138,360_UHT_DSS,138_UHT_DSS,360/138
VIT_TSS_230_138,230_VIT_TSS,138_VIT_TSS,230/138
GOW_DSS_230_138,230_GOW_DSS,138_GOW_DSS,230/138
GTP_DSS_230_138,230_GTP_DSS,138_GTP_DSS,230/138
ARN_DSS_138_69,138_ARN_DSS,69_ARN_DSS,138/69
ARN_DSS_230_138,230_ARN_DSS,138_ARN_DSS,230/138
CKY_DSS_138_69,138_CKY_DSS,69_CKY_DSS,138/69
CKY_DSS_230_138,230_CKY_DSS,138_CKY_DSS,230/138
CKY_DSS_500_230,500_CKY_DSS,230_CKY_DSS,500/230
SAY_DSS_230_138,230_SAY_DSS,138_SAY_DSS,230/138
MSA_DSS_230_138,230_MSA_DSS,138_MSA_DSS,230/138
MSA_DSS_500_230,500_MSA_DSS,230_MSA_DSS,500/230
KCH_GSS_500_138,500_KCH_GSS,138_KCH_GSS,500/138
DMR_DSS_230_138,230_DMR_DSS,138_DMR_DSS,230/138
DMR_DSS_500_230,500_DMR_DSS,230_DMR_DSS,500/230
HWW_DSS_230_138,230_HWW_DSS,138_HWW_DSS,230/138
PVO_DSS_138_69,138_PVO_DSS,69_PVO_DSS,138/69
GLD_DSS_230_138,230_GLD_DSS,138_GLD_DSS,230/138
GCL_DSS_138_69,138_GCL_DSS,69_GCL_DSS,138/69
MON_DSS_138_69,138_MON_DSS,69_MON_DSS,138/69
VNT_TSS_138_69,138_VNT_TSS,69_VNT_TSS,138/69
VNT_TSS_230_138,230_VNT_TSS,138_VNT_TSS,230/138
SVA_DSS_230_138,230_SVA_DSS,138_SVA_DSS,230/138
VVW_DSS_230_138,230_VVW_DSS,138_VVW_DSS,230/138
SAM_DSS_138_69,138_SAM_DSS,69_SAM_DSS,138/69
SAM_DSS_230_138,230_SAM_DSS,138_SAM_DSS,230/138
NIC_DSS_230_138,230_NIC_DSS,138_NIC_DSS,230/138
NIC_DSS_500_230,500_NIC_DSS,230_NIC_DSS,500/230
NTL_DSS_138_69,138_NTL_DSS,69_NTL_DSS,138/69
NTL_DSS_230_138,230_NTL_DSS,138_NTL_DSS,230/138
BMT_DSS_230_138,230_BMT_DSS,138_BMT_DSS,230/138
SLS_DSS_230_138,230_SLS_DSS,138_SLS_DSS,230/138
GMS_GSS_230_138,230_GMS_GSS,138_GMS_GSS,230/138
GMS_GSS_500_230,500_GMS_GSS,230_GMS_GSS,500/230
SVY_DSS_230_138,230_SVY_DSS,138_SVY_DSS,230/138
KDS_DSS_230_138,230_KDS_DSS,138_KDS_DSS,230/138
KDS_DSS_500_230,500_KDS_DSS,230_KDS_DSS,500/230
GLN_DSS_138_69,138_GLN_DSS,69_GLN_DSS,138/69
GLN_DSS_230_138,230_GLN_DSS,138_GLN_DSS,230/138
GLN_DSS_500_230,500_GLN_DSS,230_GLN_DSS,500/230
TKW_DSS_500_138,500_TKW_DSS,138_TKW_DSS,500/138
SKA_DSS_138_69,138_SKA_DSS,69_SKA_DSS,138/69
SKA_DSS_230_138,230_SKA_DSS,138_SKA_DSS,230/138
SKA_DSS_287_230,287_SKA_DSS,230_SKA_DSS,287/230
SKA_DSS_500_287,500_SKA_DSS,287_SKA_DSS,500/287
BRT_TSS_360_230,360_BRT_TSS,230_BRT_TSS,360/230
WLT_DSS_230_69,230_WLT_DSS,69_WLT_DSS,230/69
HPN_DSS_230_69,230_HPN_DSS,69_HPN_DSS,230/69
ING_DSS_230_69,230_ING_DSS,69_ING_DSS,230/69
ING_DSS_500_230,500_ING_DSS,230_ING_DSS,500/230
KI2_DSS_230_69,230_KI2_DSS,69_KI2_DSS,230/69
CYP_DSS_230_69,230_CYP_DSS,69_CYP_DSS,230/69
BR1_GSS_230_69,230_BR1_GSS,69_BR1_GSS,230/69
BR1_GSS_360_230,360_BR1_GSS,230_BR1_GSS,360/230
MDN_DSS_500_230,500_MDN_DSS,230_MDN_DSS,500/230
MUR_DSS_230_69,230_MUR_DSS,69_MUR_DSS,230/69
COK_DSS_230_69,230_COK_DSS,69_COK_DSS,230/69
NEL_DSS_230_69,230_NEL_DSS,69_NEL_DSS,230/69
BND_DSS_230_69,230_BND_DSS,69_BND_DSS,230/69
SPG_DSS_230_69,230_SPG_DSS,69_SPG_DSS,230/69
CSN_DSS_230_69,230_CSN_DSS,69_CSN_DSS,230/69
MLN_DSS_230_69,230_MLN_DSS,69_MLN_DSS,230/69
CBN_DSS_230_69,230_CBN_DSS,69_CBN_DSS,230/69
CBN_DSS_500_230,500_CBN_DSS,230_CBN_DSS,500/230
ALZ_DSS_230_69,230_ALZ_DSS,69_ALZ_DSS,230/69
ROS_DSS_360_230,360_ROS_DSS,230_ROS_DSS,360/230
KLY_DSS_500_230,500_KLY_DSS,230_KLY_DSS,500/230
HMH_DSS_230_69,230_HMH_DSS,69_HMH_DSS,230/69
SCK_DSS_230_69,230_SCK_DSS,69_SCK_DSS,230/69
BLW_DSS_230_69,230_BLW_DSS,69_BLW_DSS,230/69
WSN_DSS_230_69,230_WSN_DSS,69_WSN_DSS,230/69
WSN_DSS_500_230,500_WSN_DSS,230_WSN_DSS,500/230
MIN_DSS_287_230,287_MIN_DSS,230_MIN_DSS,287/230
RUP_DSS_287_69,287_RUP_DSS,69_RUP_DSS,287/69
CBK_DSS_230_69,230_CBK_DSS,69_CBK_DSS,230/69
CBK_DSS_500_230,500_CBK_DSS,230_CBK_DSS,500/230
KTG_DSS_230_69,230_KTG_DSS,69_KTG_DSS,230/69
SEL_TSS_500_230,500_SEL_TSS,230_SEL_TSS,500/230
ACK_DSS_500_230,500_ACK_DSS,230_ACK_DSS,500/230
REV_GSS_500_230,500_REV_GSS,230_REV_GSS,500/230
ILL_DSS_230_69,230_ILL_DSS,69_ILL_DSS,230/69
INV_DSS_230_69,230_INV_DSS,69_INV_DSS,230/69
KHS_DSS_230_69,230_KHS_DSS,69_KHS_DSS,230/69
AAL_DSS_230_63,230_AAL_DSS,63_AAL_DSS,230/63
KCL_GSS_230_63,230_KCL_GSS,63_KCL_GSS,230/63
TAC_DSS_230_69,230_TAC_DSS,69_TAC_DSS,230/69
WAH_GSS_360_69,360_WAH_GSS,69_WAH_GSS,360/69
MCA_GSS_500_69,500_MCA_GSS,69_MCA_GSS,500/69
VAS_DSS_500_230,500_VAS_DSS,230_VAS_DSS,500/230
WTS_DSS_230_63,230_WTS_DSS,63_WTS_DSS,230/63
BTS_TSS_230_63,230_BTS_TSS,63_BTS_TSS,230/63
GFT_TSS_161_63,161_GFT_TSS,63_GFT_TSS,161/63
ASM_TSS_161_63,161_ASM_TSS,63_ASM_TSS,161/63
WHS_TSS_230_63,230_WHS_TSS,63_WHS_TSS,230/63
BEN_TSS_138_63,138_BEN_TSS,63_BEN_TSS,138/63
BEN_TSS_161_138,161_BEN_TSS,138_BEN_TSS,161/138
BEN_TSS_230_161,230_BEN_TSS,161_BEN_TSS,230/161
LEE_TSS_230_138,230_LEE_TSS,138_LEE_TSS,230/138
DGB_DSS_230_138,230_DGB_DSS,138_DGB_DSS,230/138
