component,asset_id,longitude,latitude,inside_bc
station,BC_ABN_GSS,-115.362424,49.493319,True
station,BC_ALH_GSS,-117.768849,49.343024,True
station,BC_ALK_DSS,-118.0295,50.8227,True
station,BC_ALU_GSS,-122.312429,49.371009,True
station,BC_ASH_GSS,-125.150629,49.373363,True
station,BC_ASL_GSS,-123.325032,49.914338,True
station,BC_BBR_DSS,-121.458495,49.811453,True
station,BC_BDH_GSS,-123.405928,50.635524,True
station,BC_BDW_DSS,-123.131294,50.057918,True
station,BC_BHL_GSS,-123.515924,49.748008,True
station,BC_BHU_GSS,-123.57185,49.795324,True
station,BC_BNC_GSS,-119.18083,52.25533,True
station,BC_BNF_DSS,-117.48541,49.458202,True
station,BC_BOX_GSS,-123.393505,49.584991,True
station,BC_BR1_GSS,-122.240038,50.72985,True
station,BC_BRC_DSS,-126.760347,49.927834,True
station,BC_BRD_GSS,-117.620653,49.32488,True
station,BC_BRE_GSS,-122.015649,49.669291,True
station,BC_BRL_GSS,-129.843758,54.027182,True
station,BC_BRX_GSS,-117.619793,49.323118,True
station,BC_BSV_GSS,-121.859106,49.693045,True
station,BC_CCK_DSS,-124.739465,49.185606,True
station,BC_CMS_GSS,-123.290985,49.933702,True
station,BC_CNK_GSS,-125.395572,49.176919,True
station,BC_COM_GSS,-123.532108,49.710933,True
station,BC_COR_GSS,-117.46863,49.468877,True
station,BC_CRC_GSS,-118.104136,50.771577,True
station,BC_CSC_DSS,-120.191055,53.110441,True
station,BC_CTN_GSS,-123.15968,49.877039,True
station,BC_CYK_DSS,-126.127661,49.842749,True
station,BC_DGL_GSS,-122.150954,49.767563,True
station,BC_DSQ_GSS,-128.917682,54.38064,True
station,BC_DTR_GSS,-125.275413,49.296468,True
station,BC_EDR_DSS,-119.358938,50.019015,True
station,BC_ELK_GSS,-115.104613,49.290067,True
station,BC_ETR_GSS,-123.960276,50.675081,True
station,BC_ETW_DSS,-120.383395,53.458136,True
station,BC_FKR_GSS,-130.687453,56.717099,True
station,BC_FLS_GSS,-129.734125,53.983217,True
station,BC_FRE_GSS,-122.234664,49.783363,True
station,BC_FRI_GSS,-123.202081,49.579143,True
station,BC_FZC_DSS,-122.944717,50.105587,True
station,BC_GMS_GSS,-122.195747,56.014729,True
station,BC_HAA_GSS,-125.38367,49.247923,True
station,BC_HAC_DSS,-119.456183,52.934167,True
station,BC_HNC_DSS,-121.571363,49.364824,True
station,BC_HYS_DSS,-119.352397,52.841271,True
station,BC_JHT_GSS,-125.311014,50.044005,True
station,BC_JMC_GSS,-124.025728,50.6052,True
station,BC_JME_GSS,-123.05682,50.82821,True
station,BC_JOR_GSS,-124.052251,48.429655,True
station,BC_KCH_GSS,-121.567245,50.105189,True
station,BC_KCL_GSS,-117.517897,49.453258,True
station,BC_KKS_GSS,-126.875643,50.520201,True
station,BC_KMO_GSS,-127.942556,53.563171,True
station,BC_LAJ_GSS,-122.856062,50.839994,True
station,BC_LB0_GSS,-122.868653,49.375179,True
station,BC_LBO_GSS,-117.500425,49.461709,True
station,BC_LCH_GSS,-123.397341,49.817606,True
station,BC_LDR_GSS,-125.393057,50.017306,True
station,BC_LLK_DSS,-124.316989,49.769902,True
station,BC_LMN_GSS,-122.344598,49.568962,True
station,BC_LNL_GSS,-130.027625,56.058715,True
station,BC_LZT_DSS,-121.600898,49.327581,True
station,BC_MAM_GSS,-123.091894,49.721443,True
station,BC_MCA_GSS,-118.571028,52.075722,True
station,BC_MCK_ISS,-126.213578,49.872036,True
station,BC_MCN_DSS,-123.501548,49.515817,True
station,BC_MCP_DSS,-122.871352,50.349883,True
station,BC_MCY_GSS,-130.797452,56.687197,True
station,BC_MIK_DSS,-120.372923,53.367365,True
station,BC_MRK_GSS,-125.356863,49.234215,True
station,BC_MTR_GSS,-124.187332,50.623136,True
station,BC_NSI_DSS,-123.664242,49.829455,True
station,BC_NWS_GSS,-122.449803,49.622782,True
station,BC_PCN_GSS,-121.99497,55.982571,True
station,BC_PIN_GSS,-117.948415,50.550065,True
station,BC_PTM_DSS,-120.911202,53.678942,True
station,BC_PUN_GSS,-125.034636,49.688348,True
station,BC_PWL_DSS,-124.557704,49.872348,True
station,BC_REV_GSS,-118.193945,51.048563,True
station,BC_RGR_DSS,-127.233472,50.388421,True
station,BC_RUS_GSS,-122.408341,49.194973,True
station,BC_RUT_GSS,-122.866954,50.272697,True
station,BC_SCA_GSS,-125.585578,49.998082,True
station,BC_SCB_GSS,-118.104136,50.771577,True
station,BC_SCG_GSS,-123.54807,49.677482,True
station,BC_SCN_GSS,-116.408943,50.903362,True
station,BC_SEV_GSS,-117.504098,49.030161,True
station,BC_SFL_GSS,-122.356118,49.228836,True
station,BC_SHW_DSS,-118.813327,50.296008,True
station,BC_SKK_GSS,-122.034255,49.711062,True
station,BC_SKO_GSS,-122.995573,49.720472,True
station,BC_SKW_DSS,-121.880418,49.332543,True
station,BC_SLC_GSS,-117.519712,49.455487,True
station,BC_SON_GSS,-121.924124,50.672742,True
station,BC_SOO_DSS,-122.895965,50.223184,True
station,BC_SSH_GSS,-125.309211,49.287612,True
station,BC_STC_GSS,-120.913957,56.196554,True
station,BC_TPA_GSS,-122.162222,49.740918,True
station,BC_TRE_GSS,-121.971685,49.632076,True
station,BC_TWY_GSS,-122.079654,49.703959,True
station,BC_TYS_DSS,-123.685752,49.837085,True
station,BC_UBO_GSS,-117.484182,49.460113,True
station,BC_UCH_GSS,-123.446177,49.854195,True
