input,relative_path,exists,kind,bytes,sha256,modified_utc
hydro_generation,data/processed_data/hydro/existing/hydro_generation.csv,True,file,46156,744ac5fb6dd7a0f85c10d3334b94606b4af3bd4ce4a22ce6f19bbbec0abc1d1f,2026-08-01T05:40:23.156695+00:00
hydro_reservoirs,data/processed_data/hydro/existing/hydro_reservoirs.csv,True,file,1573,0e7a8a2d1dae199e0b7fade3f55dfda285674b560cff0b769b9d4fc3e516a8f1,2026-08-01T05:40:23.097906+00:00
reservoir_inflows,data/processed_data/hydro/existing/bc_ext_reservoir_inflows.csv,True,file,2452463,80fa8967e4902aa08d44036119e77400c516a56abfaeb5a0641de3bf5aa7f57b,2026-07-30T04:47:39.266907+00:00
ror_profiles,data/processed_data/hydro/existing/bc_ext_ror_ts.csv,True,file,14691797,bfdd67ce9e4cb905171c988fa21c7135dbefa4e32c226d45af9ef89975e884d0,2026-07-26T21:56:29.328548+00:00
generator_wup,data/inventory/custom/hydro_gen_wup_features.csv,True,file,1858,7421cc3bc602d9a3aa6c9f57316e267427ea75e5c1065684514a8abc8ccea8e9,2026-07-30T04:18:25.954966+00:00
reservoir_wup,data/inventory/custom/hydro_res_wup_features.csv,True,file,1526,c9bd060c2a263531d3fd5d215a718cf5d08f42ac0fc2d312b38ad7f15366b036,2026-07-26T21:56:20.430683+00:00
inflow_statistics_directory,data/inventory/custom/inflow_stats,True,directory,4147,6a8958faf05201c37ed80c50af6100be77e3fd0374e0e00122c79475e1d8073c,2026-07-26T21:56:20.513612+00:00
legacy_cascade_reference,data/inventory/cascade_reference.csv,True,file,24765,223b9fdf2c5821bb960c5cc6716c95546fd7310adcad3e9d4bb7890da22b7a4d,2026-07-26T21:56:19.953325+00:00
cascade_evidence_register,studies/chapter2/inputs/cascade_evidence_register.csv,True,file,11498,91cea718741ff280c53781ba134c7a27faf33b0c64ff95f7d068c335fe8ba609,2026-08-01T04:45:55.297072+00:00
release_schedules,studies/chapter2/inputs/release_schedules.csv,True,file,3636941,b03a60fe3dd9fb59fb36e4b7daf2c0d2a22cd9687113170e26c147851d0c3d22,2026-08-01T04:38:50.679111+00:00
release_rule_definitions,data/validation/chapter2/release_rule_definitions.yaml,True,file,3286,0d1e89d9810dc9834855757d2e360ea7506ce1f9edb3f152e15c76b94855d557,2026-08-01T04:38:38.361966+00:00
release_uncertainty_protocol,data/validation/chapter2/release_uncertainty_protocol.yaml,True,file,3958,070b3965f2fd5c85144caad09cffa3a6cb6d8595e75c1e2cabf8443bbb3ce551,2026-08-01T05:50:37.963167+00:00
storage_uncertainty_protocol,data/validation/chapter2/storage_uncertainty_protocol.yaml,True,file,1433,0f376fb088334a47f958f77eb1f42396537412d066b0b630f3064d5826a44df9,2026-08-01T23:10:32.982704+00:00
cascade_parameter_decisions,data/validation/chapter2/cascade_parameter_decisions.yaml,True,file,7192,f64122fe22d50f53341e57f5790d3b49747e2ad01fae5d1c5bac4585b312ef3f,2026-08-01T04:44:18.361452+00:00
reservoir_role_decisions,data/validation/chapter2/reservoir_role_decisions.csv,True,file,248,a90bd0c75c146dd277dd9bbaed4598051be8b70f3be02869752e2de4d47657cc,2026-07-30T04:21:02.011876+00:00
storage_representation_decisions,data/validation/chapter2/storage_representation_decisions.csv,True,file,1265,e65b3e0dc62a2e103eeaf60a80e1a6c509f99ba1e4d955309bce8f97c06dc4a3,2026-08-01T23:14:16.544749+00:00
validation_source_registry,data/validation/chapter2/source_registry.yaml,True,file,11459,655a522eb81c07ff77cd3be9a03952fd8d25bb6d40249cefc36d15ea7cb190f6,2026-08-01T06:29:17.514687+00:00
validation_source_manifest,data/validation/chapter2/source_manifest.csv,True,file,6820,d1cd8fc937e21af4990e608d540c081a82640a72921a2478661fdcc941b44eed,2026-08-01T06:29:39.531747+00:00
bc_boundary,data/downloaded_data/GADM/gadm41_CAN_1.geojson,True,file,15662174,5a10395cfe4a292c178549596cbe10edd04e2d1dbac664fb5324317b14fa055b,2026-07-26T21:56:29.414764+00:00
hydro_builder,workflow/scripts/enrich_format_hydro.py,True,file,26421,de186807fbb1803ccdf82858b028de3bcb470b189710d1ed94c586bb95aace4f,2026-08-01T05:39:45.694726+00:00
hydro_constraints,src/pypsa_bc/studies/cascade/constraints.py,True,file,10904,a3dc294cd96471734bfad51ab101e11b1ca23ea508a42de485da347667a9f268,2026-08-01T06:03:21.529318+00:00
hydro_representation,src/pypsa_bc/studies/cascade/representation.py,True,file,12687,a01cc04ad08f725fec8d8e41e880000104d9db9c04795bfee24226d9658ec377,2026-08-01T05:29:54.358792+00:00
model_builder,workflow/scripts/build_model.py,True,file,66532,e88dae7a9678cfa77d98f1d903fe3e9936b9063bed0477c41d27d5c82f3a3f28,2026-08-01T23:12:31.763405+00:00
