cascade_group,cascade_order,station_asset_id,hydro_type,upper_reservoir_id,lower_reservoir_id,parameter,value,available,evidence_class,note
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,travel_time_h,0.0,True,scenario,mauel_2023_thesis
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,minimum_release_m3_per_hour,fraction_of_mean_natural_inflow:0..fraction_of_mean_natural_inflow:0.1,True,scenario,Scenario envelope only; not observed/legal. Arrow Lakes Generating Station owner/legal release evidence remains unresolved.
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,max_discharge_m3_per_hour,1908000.0,True,observed,
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,spill_capacity_m3_per_hour,37800000.0,True,observed,Builder substitutes an arbitrary capacity when input spill is zero.
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,usable_storage_m3,8760000000.0,True,observed,
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,water_to_power_efficiency_mwh_per_m3,9.69601677148847e-05,True,derived,Derived as station capacity / (maximum discharge × 3600).
Mica/Columbia,3,BC_ALH_GSS,reservoir,BC_ALH_RES,DEFAULT,natural_inflow_m3_per_hour,,True,calibrated,Evidence class is based on presence of a monthly source-statistics file.
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,travel_time_h,0.0,True,scenario,mauel_2023_thesis
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,minimum_release_m3_per_hour,5472.0,True,observed,alouette_wup_2009
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,max_discharge_m3_per_hour,86400.0,True,observed,
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,spill_capacity_m3_per_hour,10800.0,True,observed,Builder substitutes an arbitrary capacity when input spill is zero.
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,usable_storage_m3,198650000.0,True,observed,
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,water_to_power_efficiency_mwh_per_m3,0.00010416666666666667,True,derived,Derived as station capacity / (maximum discharge × 3600).
Stave,1,BC_ALU_GSS,reservoir,BC_ALU_RES,BC_SFL_RES,natural_inflow_m3_per_hour,,True,calibrated,Evidence class is based on presence of a monthly source-statistics file.
Bridge,2,BC_BR1_GSS,reservoir,BC_BR1_RES,BC_SON_RES,travel_time_h,0.0,True,scenario,mauel_2023_thesis
Bridge,2,BC_BR1_GSS,reservoir,BC_BR1_RES,BC_SON_RES,minimum_release_m3_per_hour,fraction_of_mean_natural_inflow:0..fraction_of_mean_natural_inflow:0.1,True,scenario,"Scenario envelope only; not observed/legal. The current Terzaghi release order/variance is unresolved. The sensitivity is applied only to Lower Bridge River, never to the turbine diversion."
Bridge,2,BC_BR1_GSS,reservoir,BC_BR1_RES,BC_SON_RES,max_discharge_m3_per_hour,576000.0,True,observed,
