representation,case,station_asset_id,constraint_scope,minimum_release_m3_per_hour,scope_applied_correctly,named_route_does_not_constrain_turbine,evidence_class_is_scenario,resolved_route_schedules_preserved,status
A_full_cascade,lower_bound,BC_LAJ_GSS,combined_station_release,20520.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_RUS_GSS,combined_station_release,0.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_ALH_GSS,combined_station_release,0.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_BR1_GSS,named_route,0.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_MCA_GSS,combined_station_release,0.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_WAN_GSS,combined_station_release,0.0,True,True,True,True,pass
A_full_cascade,lower_bound,BC_WDN_GSS,named_route,0.0,True,True,True,True,pass
A_full_cascade,upper_bound,BC_LAJ_GSS,combined_station_release,66240.0,True,True,True,True,pass
A_full_cascade,upper_bound,BC_RUS_GSS,combined_station_release,360000.0,True,True,True,True,pass
A_full_cascade,upper_bound,BC_ALH_GSS,combined_station_release,128097.86301369863,True,True,True,True,pass
A_full_cascade,upper_bound,BC_BR1_GSS,named_route,18553.315068493153,True,True,True,True,pass
A_full_cascade,upper_bound,BC_MCA_GSS,combined_station_release,207818.63013698632,True,True,True,True,pass
A_full_cascade,upper_bound,BC_WAN_GSS,combined_station_release,99904.23630136986,True,True,True,True,pass
A_full_cascade,upper_bound,BC_WDN_GSS,named_route,6897.205479452055,True,True,True,True,pass
B_two_store,lower_bound,BC_LAJ_GSS,combined_station_release,20520.0,True,True,True,True,pass
B_two_store,lower_bound,BC_RUS_GSS,combined_station_release,0.0,True,True,True,True,pass
B_two_store,lower_bound,BC_ALH_GSS,combined_station_release,0.0,True,True,True,True,pass
B_two_store,lower_bound,BC_BR1_GSS,named_route,0.0,True,True,True,True,pass
B_two_store,lower_bound,BC_MCA_GSS,combined_station_release,0.0,True,True,True,True,pass
B_two_store,lower_bound,BC_WAN_GSS,combined_station_release,0.0,True,True,True,True,pass
B_two_store,lower_bound,BC_WDN_GSS,named_route,0.0,True,True,True,True,pass
B_two_store,upper_bound,BC_LAJ_GSS,combined_station_release,66240.0,True,True,True,True,pass
B_two_store,upper_bound,BC_RUS_GSS,combined_station_release,360000.0,True,True,True,True,pass
B_two_store,upper_bound,BC_ALH_GSS,combined_station_release,128097.86301369863,True,True,True,True,pass
B_two_store,upper_bound,BC_BR1_GSS,named_route,18553.315068493153,True,True,True,True,pass
B_two_store,upper_bound,BC_MCA_GSS,combined_station_release,207818.63013698632,True,True,True,True,pass
B_two_store,upper_bound,BC_WAN_GSS,combined_station_release,99904.23630136986,True,True,True,True,pass
B_two_store,upper_bound,BC_WDN_GSS,named_route,6897.205479452055,True,True,True,True,pass
C_single_bucket,lower_bound,BC_LAJ_GSS,combined_station_release,20520.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_RUS_GSS,combined_station_release,0.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_ALH_GSS,combined_station_release,0.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_BR1_GSS,named_route,0.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_MCA_GSS,combined_station_release,0.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_WAN_GSS,combined_station_release,0.0,True,True,True,True,pass
C_single_bucket,lower_bound,BC_WDN_GSS,named_route,0.0,True,True,True,True,pass
C_single_bucket,upper_bound,BC_LAJ_GSS,combined_station_release,66240.0,True,True,True,True,pass
C_single_bucket,upper_bound,BC_RUS_GSS,combined_station_release,360000.0,True,True,True,True,pass
C_single_bucket,upper_bound,BC_ALH_GSS,combined_station_release,128097.86301369863,True,True,True,True,pass
C_single_bucket,upper_bound,BC_BR1_GSS,named_route,18553.315068493153,True,True,True,True,pass
C_single_bucket,upper_bound,BC_MCA_GSS,combined_station_release,207818.63013698632,True,True,True,True,pass
C_single_bucket,upper_bound,BC_WAN_GSS,combined_station_release,99904.23630136986,True,True,True,True,pass
C_single_bucket,upper_bound,BC_WDN_GSS,named_route,6897.205479452055,True,True,True,True,pass
