component_id,asset_id,Flag,Project name,Model,Manufacturer,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),config_oedb,Counts,Install capacity,gen_node_code,location,latitude,longitude,CODERS AAG (GWh/y)
BMW,BMW01,1,Bear Mountain,E-82/3000,Enercon,3000,82.0,78.0,E-82/3000*-1,34,102.68,BC_BMW00_GEN,Dawson Creek,55.704126,-120.42636,197.0
DKW,DKW01,1,Dokie Ridge Wind Farm,V90/3000,Vestas,3000,90.0,80.0,V90/3000*-1,48,144.0,BC_DKW00_GEN,Chetwynd,55.811775,-122.247353,375.0
QTY,QTY01,1,Quality Wind,V100,Vestas,1800,100.0,95.0,V100/1800*134,44,79.2,BC_QTY00_GEN,Tumbler Ridge,55.184599,-120.854677,476.91
QTY,QTY02,0,Quality Wind,V90,Vestas,1800,90.0,95.0,V90/2000*54,35,70.26950000000001,BC_QTY00_GEN,Tumbler Ridge,55.184599,-120.854677,476.91
CSS,CSS01,1,Cape Scott,V100,Vestas,1800,100.0,80.0,V100/1800*134,55,99.0,BC_CSS00_GEN,Port Hardy,50.789021,-128.003295,316.3
MKL,MKL01,1,Meikle,GE 2.75-120,GE,2750,120.0,110.0,GE 2.75-120*-1,26,72.28,BC_MKL00_GEN,Tumbler Ridge,55.28556,-121.469056,541.0
MKL,MKL02,0,Meikle,GE 3.2-103,GE,3200,103.0,100.0,GE 3.2-130*-1,35,113.05,BC_MKL00_GEN,Tumbler Ridge,55.28556,-121.469056,541.0
PSW,PSW01,1,Pennask,3.2 M114,Senvion,3000,114.0,100.0,3.2M114*-1,5,16.0,BC_PSW00_GEN,Westbank,49.925611,-120.109281,49.8
SHC,SHC01,1,Shinish,3.2 M114,Senvion,3000,114.0,100.0,3.2M114*-1,5,16.0,BC_SHC00_GEN,Summerland,49.660175,-120.122212,54.5
MLW,MLW01,1,Moose Lake,E-141/4200,Enercon,3750,141.0,99.0,E-141/4200*-1,4,16.8,BC_MLW00_GEN,Tumbler Ridge,55.285633,-121.298571,55.96
